========== Landscape 评估汇总（按 angle, pitch 组合）==========
组合 (angle280, pitch70)：AP@0.5 = 0.0909
组合 (angle300, pitch70)：AP@0.5 = 0.1775
组合 (angle320, pitch70)：AP@0.5 = 0.1503
组合 (angle340, pitch70)：AP@0.5 = 0.1473
组合 (angle0, pitch80)：AP@0.5 = 0.1694
组合 (angle20, pitch80)：AP@0.5 = 0.1364
组合 (angle40, pitch80)：AP@0.5 = 0.1320
组合 (angle60, pitch80)：AP@0.5 = 0.1722
组合 (angle80, pitch80)：AP@0.5 = 0.0455
组合 (angle100, pitch80)：AP@0.5 = 0.0909
组合 (angle120, pitch80)：AP@0.5 = 0.0909
组合 (angle140, pitch80)：AP@0.5 = 0.1313
组合 (angle160, pitch80)：AP@0.5 = 0.1268
组合 (angle180, pitch80)：AP@0.5 = 0.1660
组合 (angle200, pitch80)：AP@0.5 = 0.0909
组合 (angle220, pitch80)：AP@0.5 = 0.1553
组合 (angle240, pitch80)：AP@0.5 = 0.0909
组合 (angle260, pitch80)：AP@0.5 = 0.0000
组合 (angle280, pitch80)：AP@0.5 = 0.0909
组合 (angle300, pitch80)：AP@0.5 = 0.0909
组合 (angle320, pitch80)：AP@0.5 = 0.0909
组合 (angle340, pitch80)：AP@0.5 = 0.1408
组合 (angle0, pitch89)：AP@0.5 = 0.1645
组合 (angle20, pitch89)：AP@0.5 = 0.0909
组合 (angle40, pitch89)：AP@0.5 = 0.1286
组合 (angle60, pitch89)：AP@0.5 = 0.0909
组合 (angle80, pitch89)：AP@0.5 = 0.0909
组合 (angle100, pitch89)：AP@0.5 = 0.0031
组合 (angle120, pitch89)：AP@0.5 = 0.0909
组合 (angle140, pitch89)：AP@0.5 = 0.0909
组合 (angle160, pitch89)：AP@0.5 = 0.0303
组合 (angle180, pitch89)：AP@0.5 = 0.1727
组合 (angle200, pitch89)：AP@0.5 = 0.0779
组合 (angle220, pitch89)：AP@0.5 = 0.0909
组合 (angle240, pitch89)：AP@0.5 = 0.0909
组合 (angle260, pitch89)：AP@0.5 = 0.0000
组合 (angle280, pitch89)：AP@0.5 = 0.0909
组合 (angle300, pitch89)：AP@0.5 = 0.0909
组合 (angle320, pitch89)：AP@0.5 = 0.0413
组合 (angle340, pitch89)：AP@0.5 = 0.0909

【方法：das】
组合 (angle0, pitch5)：AP@0.5 = 0.9657
组合 (angle20, pitch5)：AP@0.5 = 0.9620
组合 (angle40, pitch5)：AP@0.5 = 0.9727
组合 (angle60, pitch5)：AP@0.5 = 0.9426
组合 (angle80, pitch5)：AP@0.5 = 0.8572
组合 (angle100, pitch5)：AP@0.5 = 0.8686
组合 (angle120, pitch5)：AP@0.5 = 0.9217
组合 (angle140, pitch5)：AP@0.5 = 0.8794
组合 (angle160, pitch5)：AP@0.5 = 0.8106
组合 (angle180, pitch5)：AP@0.5 = 0.9083
组合 (angle200, pitch5)：AP@0.5 = 0.8005
组合 (angle220, pitch5)：AP@0.5 = 0.8921
组合 (angle240, pitch5)：AP@0.5 = 0.5793
组合 (angle260, pitch5)：AP@0.5 = 0.4775
组合 (angle280, pitch5)：AP@0.5 = 0.6733
组合 (angle300, pitch5)：AP@0.5 = 0.5260
组合 (angle320, pitch5)：AP@0.5 = 0.7223
组合 (angle340, pitch5)：AP@0.5 = 0.9546
组合 (angle0, pitch10)：AP@0.5 = 0.9263
组合 (angle20, pitch10)：AP@0.5 = 0.9337
组合 (angle40, pitch10)：AP@0.5 = 0.9714
组合 (angle60, pitch10)：AP@0.5 = 0.9757
组合 (angle80, pitch10)：AP@0.5 = 0.8779
组合 (angle100, pitch10)：AP@0.5 = 0.8933
组合 (angle120, pitch10)：AP@0.5 = 0.9750
组合 (angle140, pitch10)：AP@0.5 = 0.8643
组合 (angle160, pitch10)：AP@0.5 = 0.8399
组合 (angle180, pitch10)：AP@0.5 = 0.8792
组合 (angle200, pitch10)：AP@0.5 = 0.8783
组合 (angle220, pitch10)：AP@0.5 = 0.9520
组合 (angle240, pitch10)：AP@0.5 = 0.6544
组合 (angle260, pitch10)：AP@0.5 = 0.5643
组合 (angle280, pitch10)：AP@0.5 = 0.7025
组合 (angle300, pitch10)：AP@0.5 = 0.6141
组合 (angle320, pitch10)：AP@0.5 = 0.7732
组合 (angle340, pitch10)：AP@0.5 = 0.9028
组合 (angle0, pitch20)：AP@0.5 = 0.9876
组合 (angle20, pitch20)：AP@0.5 = 0.9912
组合 (angle40, pitch20)：AP@0.5 = 0.9819
组合 (angle60, pitch20)：AP@0.5 = 0.9930
组合 (angle80, pitch20)：AP@0.5 = 0.8593
组合 (angle100, pitch20)：AP@0.5 = 0.9173
组合 (angle120, pitch20)：AP@0.5 = 0.8674
组合 (angle140, pitch20)：AP@0.5 = 0.8186
组合 (angle160, pitch20)：AP@0.5 = 0.8014
组合 (angle180, pitch20)：AP@0.5 = 0.8661
组合 (angle200, pitch20)：AP@0.5 = 0.8927
组合 (angle220, pitch20)：AP@0.5 = 0.9165
组合 (angle240, pitch20)：AP@0.5 = 0.7507
组合 (angle260, pitch20)：AP@0.5 = 0.5848
组合 (angle280, pitch20)：AP@0.5 = 0.4624
组合 (angle300, pitch20)：AP@0.5 = 0.6209
组合 (angle320, pitch20)：AP@0.5 = 0.7984
组合 (angle340, pitch20)：AP@0.5 = 0.9862
组合 (angle0, pitch30)：AP@0.5 = 0.9899
组合 (angle20, pitch30)：AP@0.5 = 0.9964
组合 (angle40, pitch30)：AP@0.5 = 0.9142
组合 (angle60, pitch30)：AP@0.5 = 0.9192
组合 (angle80, pitch30)：AP@0.5 = 0.6269
组合 (angle100, pitch30)：AP@0.5 = 0.7909
组合 (angle120, pitch30)：AP@0.5 = 0.8304
组合 (angle140, pitch30)：AP@0.5 = 0.8279
组合 (angle160, pitch30)：AP@0.5 = 0.8242
组合 (angle180, pitch30)：AP@0.5 = 0.7712
组合 (angle200, pitch30)：AP@0.5 = 0.8833
组合 (angle220, pitch30)：AP@0.5 = 0.8889
组合 (angle240, pitch30)：AP@0.5 = 0.7610
组合 (angle260, pitch30)：AP@0.5 = 0.4550
组合 (angle280, pitch30)：AP@0.5 = 0.3171
组合 (angle300, pitch30)：AP@0.5 = 0.4831
组合 (angle320, pitch30)：AP@0.5 = 0.8391
组合 (angle340, pitch30)：AP@0.5 = 0.9912
组合 (angle0, pitch40)：AP@0.5 = 0.9914
组合 (angle20, pitch40)：AP@0.5 = 0.9989
组合 (angle40, pitch40)：AP@0.5 = 0.8953
组合 (angle60, pitch40)：AP@0.5 = 0.9055
组合 (angle80, pitch40)：AP@0.5 = 0.4912
组合 (angle100, pitch40)：AP@0.5 = 0.6214
组合 (angle120, pitch40)：AP@0.5 = 0.7879
组合 (angle140, pitch40)：AP@0.5 = 0.7822
组合 (angle160, pitch40)：AP@0.5 = 0.8118
组合 (angle180, pitch40)：AP@0.5 = 0.7861
组合 (angle200, pitch40)：AP@0.5 = 0.8824
组合 (angle220, pitch40)：AP@0.5 = 0.9984
组合 (angle240, pitch40)：AP@0.5 = 0.7645
组合 (angle260, pitch40)：AP@0.5 = 0.4235
组合 (angle280, pitch40)：AP@0.5 = 0.2599
组合 (angle300, pitch40)：AP@0.5 = 0.4926
组合 (angle320, pitch40)：AP@0.5 = 0.9292
组合 (angle340, pitch40)：AP@0.5 = 0.9003
组合 (angle0, pitch50)：AP@0.5 = 0.9091
组合 (angle20, pitch50)：AP@0.5 = 0.9239
组合 (angle40, pitch50)：AP@0.5 = 0.8466
组合 (angle60, pitch50)：AP@0.5 = 0.8008
组合 (angle80, pitch50)：AP@0.5 = 0.5785
组合 (angle100, pitch50)：AP@0.5 = 0.5753
组合 (angle120, pitch50)：AP@0.5 = 0.8442
组合 (angle140, pitch50)：AP@0.5 = 0.8893
组合 (angle160, pitch50)：AP@0.5 = 0.9974
组合 (angle180, pitch50)：AP@0.5 = 0.9611
组合 (angle200, pitch50)：AP@0.5 = 0.9049
组合 (angle220, pitch50)：AP@0.5 = 0.9091
组合 (angle240, pitch50)：AP@0.5 = 0.7236
组合 (angle260, pitch50)：AP@0.5 = 0.4556
组合 (angle280, pitch50)：AP@0.5 = 0.4146
组合 (angle300, pitch50)：AP@0.5 = 0.7384
组合 (angle320, pitch50)：AP@0.5 = 0.8967
组合 (angle340, pitch50)：AP@0.5 = 0.9199
组合 (angle0, pitch60)：AP@0.5 = 0.8907
组合 (angle20, pitch60)：AP@0.5 = 0.8494
组合 (angle40, pitch60)：AP@0.5 = 0.8364
组合 (angle60, pitch60)：AP@0.5 = 0.6913
组合 (angle80, pitch60)：AP@0.5 = 0.5069
组合 (angle100, pitch60)：AP@0.5 = 0.5051
组合 (angle120, pitch60)：AP@0.5 = 0.7115
组合 (angle140, pitch60)：AP@0.5 = 0.8301
组合 (angle160, pitch60)：AP@0.5 = 0.9091
组合 (angle180, pitch60)：AP@0.5 = 0.9050
组合 (angle200, pitch60)：AP@0.5 = 0.8961
组合 (angle220, pitch60)：AP@0.5 = 0.9019
组合 (angle240, pitch60)：AP@0.5 = 0.7810
组合 (angle260, pitch60)：AP@0.5 = 0.3349
组合 (angle280, pitch60)：AP@0.5 = 0.3810
组合 (angle300, pitch60)：AP@0.5 = 0.6772
组合 (angle320, pitch60)：AP@0.5 = 0.8591
组合 (angle340, pitch60)：AP@0.5 = 0.8558
组合 (angle0, pitch70)：AP@0.5 = 0.7831
组合 (angle20, pitch70)：AP@0.5 = 0.7056
组合 (angle40, pitch70)：AP@0.5 = 0.6832
组合 (angle60, pitch70)：AP@0.5 = 0.5950
组合 (angle80, pitch70)：AP@0.5 = 0.3997
组合 (angle100, pitch70)：AP@0.5 = 0.4058
组合 (angle120, pitch70)：AP@0.5 = 0.5926
组合 (angle140, pitch70)：AP@0.5 = 0.6691
组合 (angle160, pitch70)：AP@0.5 = 0.7767
组合 (angle180, pitch70)：AP@0.5 = 0.8656
组合 (angle200, pitch70)：AP@0.5 = 0.7175
组合 (angle220, pitch70)：AP@0.5 = 0.6976
组合 (angle240, pitch70)：AP@0.5 = 0.6115
组合 (angle260, pitch70)：AP@0.5 = 0.2525
组合 (angle280, pitch70)：AP@0.5 = 0.3086
组合 (angle300, pitch70)：AP@0.5 = 0.4970
组合 (angle320, pitch70)：AP@0.5 = 0.6811
组合 (angle340, pitch70)：AP@0.5 = 0.7136
组合 (angle0, pitch80)：AP@0.5 = 0.4242
组合 (angle20, pitch80)：AP@0.5 = 0.4592
组合 (angle40, pitch80)：AP@0.5 = 0.4783
组合 (angle60, pitch80)：AP@0.5 = 0.4277
组合 (angle80, pitch80)：AP@0.5 = 0.3100
组合 (angle100, pitch80)：AP@0.5 = 0.2430
组合 (angle120, pitch80)：AP@0.5 = 0.4434
组合 (angle140, pitch80)：AP@0.5 = 0.5142
组合 (angle160, pitch80)：AP@0.5 = 0.4826
组合 (angle180, pitch80)：AP@0.5 = 0.5846
组合 (angle200, pitch80)：AP@0.5 = 0.5017
组合 (angle220, pitch80)：AP@0.5 = 0.4962
组合 (angle240, pitch80)：AP@0.5 = 0.3663
组合 (angle260, pitch80)：AP@0.5 = 0.2240
组合 (angle280, pitch80)：AP@0.5 = 0.2404
组合 (angle300, pitch80)：AP@0.5 = 0.4054
组合 (angle320, pitch80)：AP@0.5 = 0.3983
组合 (angle340, pitch80)：AP@0.5 = 0.4318
组合 (angle0, pitch89)：AP@0.5 = 0.3668
组合 (angle20, pitch89)：AP@0.5 = 0.3236
组合 (angle40, pitch89)：AP@0.5 = 0.4064
组合 (angle60, pitch89)：AP@0.5 = 0.2961
组合 (angle80, pitch89)：AP@0.5 = 0.2659
组合 (angle100, pitch89)：AP@0.5 = 0.1994
组合 (angle120, pitch89)：AP@0.5 = 0.3811
组合 (angle140, pitch89)：AP@0.5 = 0.3977
组合 (angle160, pitch89)：AP@0.5 = 0.3864
组合 (angle180, pitch89)：AP@0.5 = 0.4476
组合 (angle200, pitch89)：AP@0.5 = 0.3887
组合 (angle220, pitch89)：AP@0.5 = 0.4622
组合 (angle240, pitch89)：AP@0.5 = 0.3489
组合 (angle260, pitch89)：AP@0.5 = 0.1818
组合 (angle280, pitch89)：AP@0.5 = 0.2401
组合 (angle300, pitch89)：AP@0.5 = 0.2494
组合 (angle320, pitch89)：AP@0.5 = 0.3366
组合 (angle340, pitch89)：AP@0.5 = 0.3025

【方法：dta】
组合 (angle0, pitch5)：AP@0.5 = 0.7693
组合 (angle20, pitch5)：AP@0.5 = 0.8048
组合 (angle40, pitch5)：AP@0.5 = 0.8292
组合 (angle60, pitch5)：AP@0.5 = 0.7672
组合 (angle80, pitch5)：AP@0.5 = 0.7306
组合 (angle100, pitch5)：AP@0.5 = 0.6992
组合 (angle120, pitch5)：AP@0.5 = 0.5703
组合 (angle140, pitch5)：AP@0.5 = 0.6514
组合 (angle160, pitch5)：AP@0.5 = 0.5258
组合 (angle180, pitch5)：AP@0.5 = 0.6206
组合 (angle200, pitch5)：AP@0.5 = 0.6025
组合 (angle220, pitch5)：AP@0.5 = 0.7305
组合 (angle240, pitch5)：AP@0.5 = 0.2594
组合 (angle260, pitch5)：AP@0.5 = 0.3733
组合 (angle280, pitch5)：AP@0.5 = 0.5908
组合 (angle300, pitch5)：AP@0.5 = 0.2803
组合 (angle320, pitch5)：AP@0.5 = 0.5227
组合 (angle340, pitch5)：AP@0.5 = 0.8645
组合 (angle0, pitch10)：AP@0.5 = 0.8127
组合 (angle20, pitch10)：AP@0.5 = 0.8593
组合 (angle40, pitch10)：AP@0.5 = 0.8094
组合 (angle60, pitch10)：AP@0.5 = 0.7959
组合 (angle80, pitch10)：AP@0.5 = 0.7493
组合 (angle100, pitch10)：AP@0.5 = 0.7521
组合 (angle120, pitch10)：AP@0.5 = 0.6644
组合 (angle140, pitch10)：AP@0.5 = 0.6403
组合 (angle160, pitch10)：AP@0.5 = 0.5776
组合 (angle180, pitch10)：AP@0.5 = 0.6152
组合 (angle200, pitch10)：AP@0.5 = 0.6384
组合 (angle220, pitch10)：AP@0.5 = 0.7602
组合 (angle240, pitch10)：AP@0.5 = 0.3569
组合 (angle260, pitch10)：AP@0.5 = 0.3712
组合 (angle280, pitch10)：AP@0.5 = 0.4208
组合 (angle300, pitch10)：AP@0.5 = 0.2425
组合 (angle320, pitch10)：AP@0.5 = 0.5426
组合 (angle340, pitch10)：AP@0.5 = 0.8330
组合 (angle0, pitch20)：AP@0.5 = 0.9044
组合 (angle20, pitch20)：AP@0.5 = 0.8069
组合 (angle40, pitch20)：AP@0.5 = 0.7692
组合 (angle60, pitch20)：AP@0.5 = 0.7735
组合 (angle80, pitch20)：AP@0.5 = 0.5241
组合 (angle100, pitch20)：AP@0.5 = 0.6737
组合 (angle120, pitch20)：AP@0.5 = 0.6037
组合 (angle140, pitch20)：AP@0.5 = 0.3767
组合 (angle160, pitch20)：AP@0.5 = 0.3540
组合 (angle180, pitch20)：AP@0.5 = 0.5189
组合 (angle200, pitch20)：AP@0.5 = 0.5150
组合 (angle220, pitch20)：AP@0.5 = 0.7414
组合 (angle240, pitch20)：AP@0.5 = 0.3115
组合 (angle260, pitch20)：AP@0.5 = 0.2286
组合 (angle280, pitch20)：AP@0.5 = 0.1319
组合 (angle300, pitch20)：AP@0.5 = 0.2269
组合 (angle320, pitch20)：AP@0.5 = 0.5066
组合 (angle340, pitch20)：AP@0.5 = 0.8802
组合 (angle0, pitch30)：AP@0.5 = 0.7344
组合 (angle20, pitch30)：AP@0.5 = 0.6863
组合 (angle40, pitch30)：AP@0.5 = 0.6566
组合 (angle60, pitch30)：AP@0.5 = 0.6578
组合 (angle80, pitch30)：AP@0.5 = 0.3489
组合 (angle100, pitch30)：AP@0.5 = 0.4081
组合 (angle120, pitch30)：AP@0.5 = 0.3991
组合 (angle140, pitch30)：AP@0.5 = 0.3230
组合 (angle160, pitch30)：AP@0.5 = 0.1997
组合 (angle180, pitch30)：AP@0.5 = 0.1881
组合 (angle200, pitch30)：AP@0.5 = 0.3810
组合 (angle220, pitch30)：AP@0.5 = 0.4865
组合 (angle240, pitch30)：AP@0.5 = 0.2262
组合 (angle260, pitch30)：AP@0.5 = 0.2028
组合 (angle280, pitch30)：AP@0.5 = 0.0825
组合 (angle300, pitch30)：AP@0.5 = 0.1661
组合 (angle320, pitch30)：AP@0.5 = 0.4248
组合 (angle340, pitch30)：AP@0.5 = 0.6702
组合 (angle0, pitch40)：AP@0.5 = 0.6667
组合 (angle20, pitch40)：AP@0.5 = 0.6178
组合 (angle40, pitch40)：AP@0.5 = 0.6094
组合 (angle60, pitch40)：AP@0.5 = 0.6061
组合 (angle80, pitch40)：AP@0.5 = 0.3071
组合 (angle100, pitch40)：AP@0.5 = 0.3905
组合 (angle120, pitch40)：AP@0.5 = 0.4049
组合 (angle140, pitch40)：AP@0.5 = 0.2387
组合 (angle160, pitch40)：AP@0.5 = 0.1593
组合 (angle180, pitch40)：AP@0.5 = 0.1488
组合 (angle200, pitch40)：AP@0.5 = 0.3586
组合 (angle220, pitch40)：AP@0.5 = 0.5621
组合 (angle240, pitch40)：AP@0.5 = 0.2596
组合 (angle260, pitch40)：AP@0.5 = 0.1193
组合 (angle280, pitch40)：AP@0.5 = 0.0691
组合 (angle300, pitch40)：AP@0.5 = 0.0844
组合 (angle320, pitch40)：AP@0.5 = 0.4243
组合 (angle340, pitch40)：AP@0.5 = 0.5039
组合 (angle0, pitch50)：AP@0.5 = 0.6132
组合 (angle20, pitch50)：AP@0.5 = 0.5208
组合 (angle40, pitch50)：AP@0.5 = 0.5320
组合 (angle60, pitch50)：AP@0.5 = 0.4769
组合 (angle80, pitch50)：AP@0.5 = 0.3736
组合 (angle100, pitch50)：AP@0.5 = 0.3680
组合 (angle120, pitch50)：AP@0.5 = 0.5891
组合 (angle140, pitch50)：AP@0.5 = 0.4963
组合 (angle160, pitch50)：AP@0.5 = 0.5962
组合 (angle180, pitch50)：AP@0.5 = 0.5716
组合 (angle200, pitch50)：AP@0.5 = 0.5590
组合 (angle220, pitch50)：AP@0.5 = 0.5583
组合 (angle240, pitch50)：AP@0.5 = 0.3426
组合 (angle260, pitch50)：AP@0.5 = 0.2067
组合 (angle280, pitch50)：AP@0.5 = 0.1301
组合 (angle300, pitch50)：AP@0.5 = 0.3438
组合 (angle320, pitch50)：AP@0.5 = 0.4081
组合 (angle340, pitch50)：AP@0.5 = 0.4950
组合 (angle0, pitch60)：AP@0.5 = 0.4487
组合 (angle20, pitch60)：AP@0.5 = 0.4141
组合 (angle40, pitch60)：AP@0.5 = 0.3920
组合 (angle60, pitch60)：AP@0.5 = 0.4046
组合 (angle80, pitch60)：AP@0.5 = 0.3047
组合 (angle100, pitch60)：AP@0.5 = 0.3024
组合 (angle120, pitch60)：AP@0.5 = 0.5094
组合 (angle140, pitch60)：AP@0.5 = 0.4793
组合 (angle160, pitch60)：AP@0.5 = 0.4029
组合 (angle180, pitch60)：AP@0.5 = 0.4969
组合 (angle200, pitch60)：AP@0.5 = 0.4991
组合 (angle220, pitch60)：AP@0.5 = 0.4963
组合 (angle240, pitch60)：AP@0.5 = 0.4508
组合 (angle260, pitch60)：AP@0.5 = 0.2144
组合 (angle280, pitch60)：AP@0.5 = 0.2171
组合 (angle300, pitch60)：AP@0.5 = 0.4292
组合 (angle320, pitch60)：AP@0.5 = 0.4419
组合 (angle340, pitch60)：AP@0.5 = 0.3999
组合 (angle0, pitch70)：AP@0.5 = 0.3167
组合 (angle20, pitch70)：AP@0.5 = 0.2887
组合 (angle40, pitch70)：AP@0.5 = 0.2628
组合 (angle60, pitch70)：AP@0.5 = 0.2868
组合 (angle80, pitch70)：AP@0.5 = 0.1581
组合 (angle100, pitch70)：AP@0.5 = 0.1573
组合 (angle120, pitch70)：AP@0.5 = 0.4121
组合 (angle140, pitch70)：AP@0.5 = 0.4545
组合 (angle160, pitch70)：AP@0.5 = 0.2996
组合 (angle180, pitch70)：AP@0.5 = 0.3178
